"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"f9809fce-91f3-403f-b66e-1e5676bc5b47","NSW 335945","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi L.A.S.Johnson","","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr376","MEL AVH data","in50","The Royal Botanic Gardens & Domain Trust","co54","National Herbarium of New South Wales","CC-BY 3.0 (Au)","NSW","NSW","(Above Audley),","-34.1200000000","151.0300000000","","-34.12","151.03","","1000.0","Australia","New South Wales","Sutherland Shire (A)","","Sydney Basin","","","","","","Johnson, L.A.S.","1946","01","23","1946-01-23","","PreservedSpecimen","PreservedSpecimen","present","","sheet","","true","true"
"f819b561-de76-4543-a4f3-eb1653aeb421","SPJGI3832206","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi","Silvertop Ash","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-34.079380927","151.029700326","GDA94","-34.079380926","151.029700326","","100.0","Australia","New South Wales","Sutherland Shire (A)","","Sydney Basin","190.0","190.0","","","","NAGP","1997","01","08","1997-01-08","","HumanObservation","HumanObservation","present","","","","true","true"
"f6b40261-65f5-40fd-8b2f-315555817deb","NSW335945","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi","Silvertop Ash","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-34.115090927","151.034495194","GDA94","-34.115090926","151.034495194","","1000.0","Australia","New South Wales","Sutherland Shire (A)","","Sydney Basin","","","","","","NSWOBS-07886","1946","01","23","1946-01-23","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"e568983f-76c6-4d83-bc6a-80c2e1be6d9a","SJJSI0125163","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi","Silvertop Ash","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-34.38517","150.76424","GDA94","-34.38517","150.76424","","500.0","Australia","New South Wales","Wollongong (C)","","Sydney Basin","","","","","","OEMM09102201","2008","01","16","2008-01-16","","HumanObservation","HumanObservation","present","","","","true","true"
"d706fe81-68c6-4575-947c-6d393c32408c","SPJGI3348122","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi","Silvertop Ash","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-34.196431953","151.019384484","GDA94","-34.196431952","151.019384484","","100.0","Australia","New South Wales","Wollongong (C)","","Sydney Basin","240.0","240.0","","","","NAGP","1997","01","03","1997-01-03","","HumanObservation","HumanObservation","present","","","","true","true"
"d63797d1-a6ee-41aa-88ee-4e553f348e7f","QRS 4688.1","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi L.A.S.Johnson","","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr376","MEL AVH data","in67","Australian Tropical Herbarium","co17","Australian Tropical Herbarium","CC-BY 3.0 (Au)","CNS","QRS","Royal National Park, N.S.W.","-34.1667000000","151.0000000000","","-34.1667","151.0","","10000.0","Australia","New South Wales","Wollongong (C)","","Sydney Basin","0.0","0.0","","","","Gill, B.","1974","01","16","1974-01-16","","PreservedSpecimen","PreservedSpecimen","present","","sheet","","true","true"
"afb7aab8-954e-402d-910d-3ad403e74bb7","SPJGI2621793","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi","Silvertop Ash","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-34.10519816","150.954309249","GDA94","-34.10519816","150.95430925","","100.0","Australia","New South Wales","Sutherland Shire (A)","","Sydney Basin","95.0","95.0","","","","MCDR;VEG-AKKP","1990","01","16","1990-01-16","","HumanObservation","HumanObservation","present","","","","true","true"
"7d47c8fc-13cc-416c-bc3f-288002b0dec3","SPJGI3347268","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi","Silvertop Ash","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-34.145328288","150.959024458","GDA94","-34.145328287","150.959024458","","100.0","Australia","New South Wales","Wollongong (C)","","Sydney Basin","260.0","260.0","","","","NAGP;VEG-CROSS;VEG-MBRAD;VEG-NLEIST","1998","01","17","1998-01-17","","HumanObservation","HumanObservation","present","","","","true","true"
"762dc57d-bfb6-46b5-b3d4-3781f8332fb3","SPJGI3868414","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi","Silvertop Ash","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-34.196431953","151.019384484","GDA94","-34.196431952","151.019384484","","100.0","Australia","New South Wales","Wollongong (C)","","Sydney Basin","240.0","240.0","","","","NAGP","1997","01","03","1997-01-03","","HumanObservation","HumanObservation","present","","","","true","true"
"72dcd294-8132-4f28-9e77-af8529c8ac9d","SPJGI3836426","http://id.biodiversity.org.au/node/apni/2917450","Eucalyptus sieberi","Silvertop Ash","Eucalyptus sieberi","species","coast ash","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus sieberi","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-34.145328288","150.959024458","GDA94","-34.145328287","150.959024458","","100.0","Australia","New South Wales","Wollongong (C)","","Sydney Basin","260.0","260.0","","","","NAGP;VEG-CROSS;VEG-MBRAD;VEG-NLEIST","1998","01","17","1998-01-17","","HumanObservation","HumanObservation","present","","","","true","true"
